timestamp,server_timestamp,type,ts,screen,aoi,duration,session,answer
62812.799999952316,1771050242866.2268,screen_view,12749,demo,,,,
65796.39999997616,1771050245849.804,panel_dwell,15745,,demo-visual,2984,,
66301.19999998808,1771050246359.663,panel_dwell,16250,,demo-visual,330,,
66951.69999998808,1771050247011.475,panel_dwell,16901,,demo-text,650,,
67387.89999997616,1771050247443.074,panel_dwell,17320,,demo-visual,419,,
68178.69999998808,1771050248232.407,panel_dwell,18128,,demo-case,791,,
68312.09999996424,1771050248370.351,panel_dwell,18261,,demo-visual,133,,
69157.79999995232,1771050249214.78,answer_select,19091,,,,demo,C
69719.69999998808,1771050249774.291,answer_select,19668,,,,demo,B
70060.5,1771050250119.456,answer_select,20009,,,,demo,C
70605.19999998808,1771050250658.5132,answer_select,20550,,,,demo,A
70820.39999997616,1771050250873.805,panel_dwell,20769,,demo-case,2508,,
70854.29999995232,1771050250907.843,panel_dwell,20803,,demo-visual,24,,
89916.69999998808,1771050269976.725,panel_dwell,39853,demo-visual,516,,,
40574,1771050270717.706,answer_submit,40575,,,demo,A,
91662.39999997616,1771050271715.6228,answer_select,41608,,,demo,C,
92124.29999995232,1771050272180.971,panel_dwell,42073,demo-case,2207,,,
92644.59999996424,1771050272701.282,panel_dwell,42578,demo-case,308,,,
93604,1771050273657.325,screen_view,43549,,,,,refocus0
94522.39999997616,1771050274575.351,screen_view,44466,,,,,session1
95193.39999997616,1771050275249.39,panel_dwell,45143,session1-visual,672,,,
95512.09999996424,1771050275603.118,answer_select,45458,,,1,C,
46187,1771050276293.992,answer_submit,46187,,,1,C,
96452.39999997616,1771050276509.625,panel_dwell,46401,session1-case,1258,,,
96500.09999996424,1771050276559.4321,panel_dwell,46449,session1-visual,47,,,
