timestamp,server_timestamp,event,aoi,element,dwell_time_ms
62811.69999998808,1771050242864.9968,enter,demo-visual,DIV,
65796.29999995232,1771050245849.548,leave,demo-visual,,2984.599999964237
65970.19999998808,1771050246023.567,enter,demo-visual,DIV,
66301.09999996424,1771050246359.536,leave,demo-visual,,330.89999997615814
66301.09999996424,1771050246359.62,enter,demo-text,DIV,
66951.5,1771050247011.2231,leave,demo-text,,650.4000000357628
66951.5,1771050247011.359,enter,demo-visual,DIV,
67371.19999998808,1771050247424.809,leave,demo-visual,,419.69999998807907
67388,1771050247443.136,enter,demo-case,DIV,
68178.5,1771050248232.018,leave,demo-case,,790.5
68178.59999996424,1771050248232.261,enter,demo-visual,DIV,
68311.89999997616,1771050248365.3,leave,demo-visual,,133.39999997615814
68311.89999997616,1771050248365.398,enter,demo-case,DIV,
70820.19999998808,1771050250873.6,leave,demo-case,,2508.300000011921
70829.5,1771050250882.945,enter,demo-visual,DIV,
70854,1771050250907.403,leave,demo-visual,,24.5
89387.69999998808,1771050269441.831,enter,demo-visual,DIV,
89903.69999998808,1771050269957.123,leave,demo-visual,,515.8999999761581
89916.89999997616,1771050269976.816,enter,demo-case,DIV,
92124.09999996424,1771050272180.858,leave,demo-case,,2207.100000023842
92321,1771050272374.305,enter,demo-case,DIV,
92628.59999996424,1771050272686.9832,leave,demo-case,,307.5999999642372
94521.59999996424,1771050274574.695,enter,session1-visual,DIV,
95193.29999995232,1771050275249.276,leave,session1-visual,,671.6999999880791
95193.29999995232,1771050275249.346,enter,session1-case,DIV,
96452.19999998808,1771050276509.469,leave,session1-case,,1258.9000000357628
96452.19999998808,1771050276509.541,enter,session1-visual,DIV,
96499.89999997616,1771050276559.3418,leave,session1-visual,,47.69999998807907
